delta_net_http,after_net_http,delta_subprocess_exec,after_subprocess_exec,delta_env_cred_access,after_env_cred_access,delta_filesystem,after_filesystem,delta_encoded_blob,after_encoded_blob,delta_install_hook,after_install_hook,delta_obfuscation,after_obfuscation,delta_loc,delta_char,entropy_before,entropy_after,delta_entropy,delta_longest_token,ast_nodes_after,package,ecosystem,version_after_date,label
0,3,0,3,0,10,0,7,0,0,0,1,0,0,0,0,5.539,5.539,0.0,0,-1,@jaggle/resizeobserves,npm,2026-05-25T11:22:51.670Z,1
0,40,0,50,0,58,0,34,0,8,0,0,0,0,0,0,4.45,4.45,0.0,0,-1,kraken123,pypi,2025-08-29T11:10:15.405972Z,1
0,1,0,3,0,1,0,4,0,0,0,1,0,0,4,87,5.665,5.661,-0.004,0,-1,@jaggle/resizeobserves,npm,2026-05-21T19:55:55.025Z,1
0,40,0,50,0,58,0,34,0,8,0,0,0,0,-2,-44,4.45,4.45,0.0,0,-1,kraken123,pypi,2025-08-29T10:59:55.561769Z,1
0,1,0,3,0,1,0,4,0,0,0,1,0,0,0,0,5.664,5.664,0.0,0,-1,@jaggle/resizeobserves,npm,2026-05-21T20:05:03.063Z,1
0,40,0,50,0,58,0,34,0,8,0,0,0,0,0,0,4.45,4.45,0.0,0,-1,kraken123,pypi,2025-08-29T10:52:39.374128Z,1
0,1,0,3,0,1,0,4,0,0,0,1,0,0,3,87,5.661,5.664,0.003,0,-1,@jaggle/resizeobserves,npm,2026-05-21T19:58:10.511Z,1
0,40,0,50,0,58,0,34,0,8,0,0,0,0,-2,-33,4.45,4.45,0.0,0,-1,kraken123,pypi,2025-09-14T20:38:35.590589Z,1
0,4,1,1,1,1,0,0,2,2,0,0,0,0,73,4518376,5.405,2.887,-2.518,4518094,-1,awaitly-postgres,npm,2026-06-04T00:26:34.400Z,1
0,4,0,1,0,1,0,0,0,2,0,0,0,0,0,-88,2.887,2.812,-0.075,-79,-1,awaitly-postgres,npm,2026-06-04T00:26:45.582Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,211,2.901,2.974,0.073,210,-1,awaitly-postgres,npm,2026-06-04T00:28:21.459Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,626,2.974,2.923,-0.051,627,-1,awaitly-postgres,npm,2026-06-04T00:28:31.693Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,-1068,2.923,2.966,0.043,-1069,-1,awaitly-postgres,npm,2026-06-04T00:28:40.828Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,89,2.966,2.807,-0.159,89,-1,awaitly-postgres,npm,2026-06-04T00:28:50.325Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,2,2.807,2.895,0.088,2,-1,awaitly-postgres,npm,2026-06-04T00:29:00.075Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,459,2.895,2.965,0.07,459,-1,awaitly-postgres,npm,2026-06-04T00:29:09.557Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,902,2.965,2.877,-0.088,902,-1,awaitly-postgres,npm,2026-06-04T00:29:18.593Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,-251533,2.877,3.023,0.146,-251532,-1,awaitly-postgres,npm,2026-06-04T00:29:28.200Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,17,252187,3.023,2.845,-0.178,250634,-1,awaitly-postgres,npm,2026-06-04T00:29:37.943Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,-278,2.845,2.923,0.078,-277,-1,awaitly-postgres,npm,2026-06-04T00:29:48.023Z,1
0,4,0,1,0,1,0,0,0,2,0,0,0,0,0,167,2.812,2.839,0.027,168,-1,awaitly-postgres,npm,2026-06-04T00:26:56.708Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,310,2.923,2.968,0.045,309,-1,awaitly-postgres,npm,2026-06-04T00:29:57.581Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,272,2.968,2.756,-0.212,272,-1,awaitly-postgres,npm,2026-06-04T00:30:07.013Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,592,2.756,2.887,0.131,141,-1,awaitly-postgres,npm,2026-06-04T00:30:15.229Z,1
